web-scraper-order,web-scraper-start-url,category,category-href,plant,plant-href,name,description,price,water,light
"1682093164-61","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Moonlight Philodendron
$23.99","https://piante.ca/collections/small-plants/products/4-moonlight-philodendron","4"" Moonlight Philodendron","null","$23.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093166-62","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Milk Confetti Nephthytis
$23.99","https://piante.ca/collections/small-plants/products/4-milk-confetti-nephthytis","4"" Milk Confetti Nephthytis","null","$23.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093169-63","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB String of Banana
$30.99","https://piante.ca/collections/small-plants/products/4-hb-string-of-banana","4"" HB String of Banana","Similar to string of pearls, this succulent is easy to spot with its elongated, banana shaped leaves. String of Bananas are faster growers with thick stems, making them a great choice for porpogation. Keep this succulent somwhere high, so you can appreciate their beautiful trailing vines.","$30.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093171-64","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB String of Turtles
$30.99","https://piante.ca/collections/small-plants/products/4-hb-string-of-turtles","4"" HB String of Turtles","It is easy to see how String of Turtles get their name after you see their long trailing vines covered in beautiful leaves that resemble the shell of a turtle. Keep these plants in bright indirect light, else you might see large empty gaps between leaves. Put this succulent-like plant in a hanging basket and watch as it cascades over the sides.","$30.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093173-65","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Red Secret Alocasia Cuprea
$35.99","https://piante.ca/collections/small-plants/products/4-red-secret-alocasia-cuprea","4"" Red Secret Alocasia Cuprea","null","$35.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093176-66","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Pearl Haworthia
$26.99","https://piante.ca/collections/small-plants/products/325-pearl-haworthia","3.25"" Pearl Haworthia","Haworthias are small succulents known best for their exotic façade and striking leaves. They make great indoor plants for window sills, desks, counters, and much more. Lots of Haworthia types are on the market, and you’d see them in different forms and sizes. Some leaves can be long and tapered, or soft, opaque, and fleshy, depending on the variety. Many varieties have hairs, stripes, ridges, or bumps on the leaves that add to their uniqueness.","$26.99","null","null"
"1682093178-67","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Philodendron Red Congo
$23.99","https://piante.ca/collections/small-plants/products/4-philodendron-red-congo","4"" Philodendron Red Congo","Philodendron Red Congo is a gorgeous and rare tropical house plant. In its infancy, its foliage is a deep green; however, as it matures, the leaves shift to a deeper red colour, reulting in a vibrant hue. Unlike most Philodendrons that are known for their stunning vines, this Philodendron grows upright and does not trail. Philodendron Red Congo is a compact, somewhat slow-growing plant that is perfect for tabletops, desks, or other surfaces.","$23.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093180-68","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB Hoya Compacta Rope
$33.99","https://piante.ca/collections/small-plants/products/4-hb-compacta-rope","4"" HB Hoya Compacta Rope","Hoya Compacta Rope are an instant eye catcher, with its trailing vines coated with thick curling leaves. Also knwon as Hindu Rope, this plant is well known for their bright clusters of waxy, star shaped flowers. With the right amount of patience and care, these slow growers will be sure to make a statement on the edge of a shelf or in a hanging basket.","$33.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093183-69","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB String of Hearts
$30.99","https://piante.ca/collections/small-plants/products/4-hb-string-of-hearts","4"" HB String of Hearts","It is easy to see how String of Hearts get their name after you see their long trailing vines covered in 
beautifully veriegated heart shaped leaves. Keep these plants in bright indirect light, else you might see 
large empy gaps between leaves. Put this succulent like plant in a hanging basket and watch as it 
cascades over the sides.","$30.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093185-70","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Golden Barrel Cactus
$27.99","https://piante.ca/collections/small-plants/products/325-golden-barrel-cactus","3.25"" Golden Barrel Cactus","Cacti are succulents, but their fleshy stems are what set them apart from the broad plant group. Unlike the others, these plants store water and moisture in their green, photosynthetic, and cylindrical or flattened stems. They come in different shapes, sizes, and colours, so you have plenty of choices! Give them the right care, and these prickly plants will show you beautiful flowers.","$27.99","null","null"
"1682093187-71","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB Hoya Carnosa Tricolour
$33.99","https://piante.ca/collections/small-plants/products/4-hb-carnosa-tricolour","4"" HB Hoya Carnosa Tricolour","Hoya Tricolour is a slow-growing tropical plant with a trailing growth habit making it perfectly suited for hanging baskets or shelves where their beautiful foliage can be easily seen. Its thick leaves are lance-shaped with vibrant green, white and red colouration. In addition to this beautiful foliage, Hoya  also produces clusters of soft pink blooms in the spring; though this particular species isn't a heavy bloomer.  With the right amount of patience and care, these slow growers will be sure to make a statement on the edge of a shelf or in a hanging basket.","$33.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093190-72","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Philodendron White Princess
$39.99","https://piante.ca/collections/small-plants/products/philodendron-white-princess","4"" Philodendron White Princess","White Princess Philodendron is one of the most beautiful philodendrons that you can add to your indoor garden. Its glossy green leaves are generously patterned with white variegation. You may even get a splash of pink from time to time.","$39.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093192-73","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Urbinia Echeveria
$25.99","https://piante.ca/collections/small-plants/products/325-urbinia-echeveria","3.25"" Urbinia Echeveria","These famed ornamental plants come in many varieties with different colours, texture, and sizes. Still, they all have one thing in common – a beautifully arranged symmetrical rosette leaves. Take a close look at their leaves, and you’ll see that each of them may be covered with a translucent powdery coating. But wait until they come into bloom, and their bell-shaped flowers will surely make a statement.","$25.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093194-74","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Philodendron Silver Sword
$28.99","https://piante.ca/collections/small-plants/products/4-philodendron-silver-sword","4"" Philodendron Silver Sword","Silver Sword Philodendron stands out in any collection due to its unique silvery-green foliage. Like other philodendron varieties, Silver Sword likes to trail and climb. We recommend transitioning it into a hanging basket or using a coco/moss pole as this plant matures. These growing methods enable the plant to get more light, allowing it to reach its full potential!","$28.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093197-75","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Variegated Triangularis Ficus
$25.99","https://piante.ca/collections/small-plants/products/4-variegated-triangularis-ficus","4"" Variegated Triangularis Ficus","The Variegated Ficus Triangularis catches the eye with its unique, triangle-shaped leaves with dapple white and pale green colours. Able to reach up to 6ft in height, this slow-growing plant is the perfect fit for a desk, before being moved to a grand floor plant.","$25.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093199-76","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Zebra Haworthia
$26.99","https://piante.ca/collections/small-plants/products/325-zebra-haworthia","3.25"" Zebra Haworthia","Haworthias are small succulents known best for their exotic façade and striking leaves. They make great indoor plants for window sills, desks, counters, and much more. Lots of Haworthia types are on the market, and you’d see them in different forms and sizes. Some leaves can be long and tapered, or soft, opaque, and fleshy, depending on the variety. Many varieties have hairs, stripes, ridges, or bumps on the leaves that add to their uniqueness.","$26.99","null","null"
"1682093201-77","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Agave Spaghetti Strap
$25.99","https://piante.ca/collections/small-plants/products/325-agave-spaghetti-strap","3.25"" Agave Spaghetti Strap","Succulents are highly popular houseplants that come in various forms, sizes, colors, and blooms. Most of them present fascinating forms, while others exhibit spikes or a trailing habit. These plants have one thing in common, though. They have a water-storing capacity through their fleshy and thick stems, leaves, or roots. Regardless of which ones you’d pick, succulents present an exotic and fun display in your home or office.","$25.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093204-78","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB Burros Tail
$30.99","https://piante.ca/collections/small-plants/products/4-burros-tail","4"" HB Burros Tail","Succulents are highly popular houseplants that come in various forms, sizes, colors, and blooms. Most of them present fascinating forms, while others exhibit spikes or a trailing habit. These plants have one thing in common, though. They have a water-storing capacity through their fleshy and thick stems, leaves, or roots. Regardless of which ones you’d pick, succulents present an exotic and fun display in your home or office.","$30.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093206-79","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Lady Finger Cactus
$25.99","https://piante.ca/collections/small-plants/products/325-lady-finger-cactus","3.25"" Lady Finger Cactus","Cacti are succulents, but their fleshy stems are what set them apart from the broad plant group. Unlike the others, these plants store water and moisture in their green, photosynthetic, and cylindrical or flattened stems. They come in different shapes, sizes, and colours, so you have plenty of choices! Give them the right care, and these prickly plants will show you beautiful flowers.","$25.99","null","null"
"1682093209-80","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Bird's Nest Fern
$23.99","https://piante.ca/collections/small-plants/products/4-birds-nest-fern","4"" Bird's Nest Fern","Asplenium nidus","$23.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093211-81","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Olive
$32.99","https://piante.ca/collections/small-plants/products/4-olive","4"" Olive","Unlike other typical houseplants, Olive Plants are somehow a newcomer into this booming plant craze. Their edible fruits and oil may have made them a distinguished tree. Still, their popularity as decorative indoor plants is one thing worth noting. These low maintenance plants flaunt leathery, dark green leaves with silvery undersides. They also feature small and white flowers that bloom in clusters.","$32.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093214-82","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Dracaena Lemon Lime
$22.99","https://piante.ca/collections/small-plants/products/4-dracaena-lemon-lime","4"" Dracaena Lemon Lime","The stunning Dracaena Lemon Lime is easily identifiable by its long, narrow, sword-like leaves. In addition to being rigid, the leaves of this variety exhibit vibrant stripes of white, green and neon yellow. While the colour and stripe details on this plant are often what make it a customer favourite, they also have the added bonus of being pruned into either a cane or a bush as they grow larger. Dracaenas are also known as air purifiers and make NASA's list of clean air plants.","$22.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093216-83","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Philodendron Birkin
$25.99","https://piante.ca/collections/small-plants/products/4philodendronbirkin","4"" Philodendron Birkin","Philodendron Birkin is a gorgeous and rare tropical house plant. In its infancy, its foliage is a vibrant green; however, as it matures, the leaves darken and beautiful contrasting pinstripe-like yellow variegation appears. Unlike most Philodendrons that are known for their stunning veins, the Philodendron grows upright and does not trail. Philodendron Birkin is a compact, somewhat slow-growing plant that is perfect for tabletops, desks, or other surfaces.","$25.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093218-84","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB String of Pearls
$30.99","https://piante.ca/collections/small-plants/products/4-string-of-pearls","4"" HB String of Pearls","Also called the string of beads, this succulent is known for its delicate pearl-like leaves adorned across its viney stems.  Perfect for a hanging basket or the edge of a shelf, the cascading stems will be sure to catch the eye. Make sure you keep this succulent in a well-light area and beware of overwatering.","$30.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093221-85","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Rubber Plant Green
$20.99","https://piante.ca/collections/small-plants/products/4-rubber-plant-green","4"" Rubber Plant Green","The Rubber Plant Green is distinguishable by its broad leaves of deep green. To help maintain the leaves, keep the plant in bright, indirect sunlight. Rubber Plants can be enjoyed as small to medium indoor house plants by restricting them to smaller pots or grown to become a focal point as a stunning indoor tree. Take good care of your plant, and it can grow up to fifty feet tall!","$20.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093223-86","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Sansevieria Boncel Starfish
from $0.00","https://piante.ca/collections/small-plants/products/4-sanseveria-boncel-starfish","4"" Sansevieria Boncel Starfish","Sansevieria ‘Starfish’ is a compact variety of Sansevieria that’s great for small spaces. The leaves are light green, upright, and cylindrical. They emerge alternately from a central point at the base of the plant, forming a fan-like shape that resembles its namesake sea creature. Like other types of Snake Plants, this charming cultivar requires little maintenance and thrives even in neglect. Plus, they help clean the air, too!","$28.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093226-87","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Dracaena Warneckii
$20.99","https://piante.ca/collections/small-plants/products/4-dracaena-warneckii","4"" Dracaena Warneckii","The stunning Dracaena Warneckii is easily identifiable by its long, narrow, sword-like leaves. In addition to being rigid, the leaves of this variety exhibit vibrant stripes of white and green. While the colour and stripe details on this plant are often what make it a customer favourite, they also have the added bonus of being pruned into either a cane or a bush as they grow larger. Dracaenas are also known as air purifiers and make NASA's list of clean air plants.","$20.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093228-88","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB Pitcher Plant
$30.99","https://piante.ca/collections/small-plants/products/4-hb-pitcher-plant","4"" HB Pitcher Plant","The Pitcher Plant is one of the most fascinating carnivorous plants that can attract anyone’s attention in an instant. A great conversation piece, it flaunts fleshy funnels or pitcher-like tubes that trap insects and small animals. The elongated, pitcher-like traps, in fact, are the plant’s specialized leaves. It’s the perfect plant if you’re looking to add an exotic plant display in your home, office, or garden.","$30.99","These plants require frequent irrigation to achieve the best performance. They need watering 3 to 4 times a week since these plants are typically fast-growing and shallow-rooted.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093231-89","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Polka Dot Plant
$19.99","https://piante.ca/collections/small-plants/products/4-polka-dot","4"" Polka Dot Plant","Also known as ""Freckle Face"", this gorgeous plant is identifiable by its stunning foliage that is grown in shades of red, pink, green and white with spots of vibrant green. These charming plants are a perfect addition to your plant collection and add a burst of colour to any dull space.","$19.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093233-90","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Sansevieria Cylindrica Braid
$27.99","https://piante.ca/collections/small-plants/products/4-sanseveria-cylindrica-braid","4"" Sansevieria Cylindrica Braid","Indeed a one-of-a-kind ornamental plant, this Sansevieria presents beautiful foliage that has been braided together. The smooth, elongated, striped, and greenish-gray leaves fan out as they mature, only making this unique and striking succulent more appealing. Grow this Snake Plant in bright light, and it will give you a lovely bloom of a pink-budded white flower.","$27.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093236-91","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Staghorn Fern
$24.99","https://piante.ca/collections/small-plants/products/4-staghorn-fern","4"" Staghorn Fern","Staghorn Fern got its name from its antler-like, green, and leathery leaves. It’s one of the most unusual yet beautiful houseplants that add a tropical look to your space. Just hang it in baskets or place it on branches, and this famed fern will do a stunning job. With the right care and conditions, Staghorn Fern gives a striking display of cascading fronds. Each plant features two types of fronds: small and flat basal fronds, and upright aerial fronds.","$24.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093238-92","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Ginseng Ficus
$35.99","https://piante.ca/collections/small-plants/products/4-ficus-ginseng","4"" Ginseng Ficus","The Ficus Ginseng is known to bring good luck and harmony to those who own one and when received as a gift it is said to bring double the luck. Ginseng Ficus are miniature bonsai trees with aerial roots and oval-shaped leaves that create a lush canopy of green. It is striking in appearance and a more forgiving variety of bonsai, making it ideal for beginners.","$35.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093240-93","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","Tillandsia Xerographica
from $33.90","https://piante.ca/collections/small-plants/products/tillandsia-xerographica","Tillandsia Xerographica","This stunning air plant is one of those pieces that you’d definitely want to put on display. In fact, it wouldn’t be dubbed as the “Queen of Air Plants” for no reason! This slow-growing epiphyte’s majestic appeal, curling leaf structure, and spherical form will surely catch anyone’s attention. The long and silvery-green leaves give this plant a distinct look by spiraling around themselves as they grow. Xeros also feature an impressive red and yellow flower spike.","$33.90","These are plants that have specialized water needs. They may require water types other than hard/tap or filtered water or different methods of watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093243-94","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Rubber Plant Tineke
$20.99","https://piante.ca/collections/small-plants/products/4-rubber-plant-tineke","4"" Rubber Plant Tineke","Rubber Plant Tineke, also known as Ficus elastica, is distinguishable by its patterned leaves of varying shades including, green, white, pink or red. To help the leaves maintain their variety of colours, keep the plant in bright, indirect sunlight. Belonging to the fig family, Moraceae, these plants don't just look good, they also help to clean the air of pollutants. Rubber Plants can be enjoyed as small to medium indoor house plants by restricting them to smaller pots or grown to become a focal point as a stunning indoor tree. Take good care of your plant, and it can grow to staggering heights!","$20.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093245-95","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Rubber Plant Burgundy
$20.99","https://piante.ca/collections/small-plants/products/4-rubber-plant","4"" Rubber Plant Burgundy","Rubber Plant Tineke, also known as Variegated Rubber Plant, is distinguishable by its patterned leaves of varying shades including, green, white, pink or red. To help the leaves maintain their variety of colours, keep the plant in bright, indirect sunlight. Rubber Plants can be enjoyed as small to medium indoor house plants by restricting them to smaller pots or grown to become a focal point as a stunning indoor tree. Take good care of your plant, and it can grow up to fifty feet tall!","$20.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093247-96","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Coffee
$21.99","https://piante.ca/collections/small-plants/products/4-coffee-plant","4"" Coffee","With its beautiful foliage and resilient nature, the Coffee plant’s popularity as an indoor houseplant continues to rise to the top. While the growing conditions in your home may not be sufficient to produce fruits, this plant’s large, dark green, glossy leaves with ruffled edges make up for this. They give the right amount of greenery and help purify the air indoors. Coffee plants have a compact growth habit and produce small, sweetly scented, and star-shaped white flowers.","$21.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093250-97","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Rubber Plant Ruby
$20.99","https://piante.ca/collections/small-plants/products/4-rubber-plant-ruby","4"" Rubber Plant Ruby","The Rubber Plant Ruby is distinguishable by its patterned leaves of varying shades including pink, red, white and green. To help the leaves maintain their variety of colours, keep the plant in bright, indirect sunlight. Rubber Plants can be enjoyed as small to medium indoor house plants by restricting them to smaller pots or grown to become a focal point as a stunning indoor tree. Take good care of your plant, and it can grow up to fifty feet tall!","$20.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093252-98","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Monstera Minima
$23.99","https://piante.ca/collections/small-plants/products/4-monstera-minima","4"" Monstera Minima","This variety of philodendron is a must-have addition to your indoor jungle. This plant is well known for it's stunning heart-shaped, split leaves in a striking deep green colour, that can easily grow to massive widths. Monstera has a tendency to grow out and down, but place a moss-covered poll in the soil and watch in awe as this plant clings to it with aerial roots.","$23.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093254-99","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Bunny Ear Cactus
$27.99","https://piante.ca/collections/small-plants/products/325-bunny-ear-cactus","3.25"" Bunny Ear Cactus","Cacti are succulents, but their fleshy stems are what set them apart from the broad plant group. Unlike the others, these plants store water and moisture in their green, photosynthetic, and cylindrical or flattened stems. They come in different shapes, sizes, and colours, so you have plenty of choices! Give them the right care, and these prickly plants will show you beautiful flowers.","$27.99","null","null"
"1682093257-100","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Alocasia Polly
$26.99","https://piante.ca/collections/small-plants/products/4-alocasia-polly","4"" Alocasia Polly","Alocasia is a common houseplant recognized for its large, broad, and arrow-shaped leaves. This perennial beauty comes in lots of varieties with different sizes and leaf features. You will find them in varying hues of green, with some types featuring splotches of purple, copper, or black. Each leaf flaunts striking white veins, making this intriguing plant even more eye-catching and décor-worthy.","$26.99","These are plants that need regular watering twice a week or once every five days or so. For these plants, it’s best to keep the soil evenly moist and watered.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093259-101","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Fittonia
$21.99","https://piante.ca/collections/small-plants/products/4-fittonia","4"" Fittonia","Also known as ""Nerve Plant"" or ""Mosaic Plant"", this tropical house plant is identifiable by its bright, delicate veins that contrast beautifully against its dark green foliage. Fittonia is a low-growing plant which makes it perfect for hanging baskets and terrariums. Like most people, this beautiful plant likes to be dramatic and is known to wilt if they don't receive the right amount of watering but quickly bounce back with a little attention.","$21.99","These are plants that need regular watering twice a week or once every five days or so. For these plants, it’s best to keep the soil evenly moist and watered.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093261-102","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Black ZZ Plant
$49.99","https://piante.ca/collections/small-plants/products/4-black-zz-plant","4"" Black ZZ Plant","Zamioculcas Oscura","$49.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
